seed_id,number_unique_template_bootstrap,pattern_by_example,pattern_by_example-novel
1,6,9,5
2,4,7,3
3,7,8,5
4,8,7,4
5,8,10,6
6,10,10,4
7,10,13,6
8,14,15,7
9,20,18,15
10,11,13,9
11,12,18,13
12,3,13,10
13,4,4,2
14,4,7,5
15,16,14,5
16,11,11,3
17,13,14,9
18,12,12,6
19,9,11,6
20,14,19,12
22,16,14,9
23,6,10,5
24,12,17,11
25,10,15,12
26,11,14,7
27,7,9,7
28,7,12,9
29,10,10,8
30,14,18,12
31,14,16,10
32,5,8,5
33,8,15,12
34,14,13,7
35,11,14,9
36,10,15,9
37,6,13,9
38,16,15,9
39,12,17,11
41,15,14,6
42,12,16,6
43,21,13,10
44,9,17,12
45,13,12,6
46,11,16,10
47,10,16,9
48,12,12,9
49,6,10,8
50,15,12,8
51,16,14,9
21,13,13,5
40,2,10,9
