seed_id,number_unique_template_bootstrap,pattern_by_example,pattern_by_example-novel
1,6,12,8
2,4,8,4
3,7,12,12
4,8,17,12
5,8,17,13
6,10,19,15
7,10,17,13
8,14,18,9
9,20,23,20
10,11,18,11
11,12,16,10
12,3,11,8
13,4,7,5
14,4,8,5
15,16,18,9
16,11,19,12
17,13,18,13
18,12,16,11
19,9,16,11
20,14,18,16
22,16,21,13
23,6,17,11
24,12,18,13
25,10,22,20
26,11,15,8
27,7,17,13
28,7,15,13
29,10,16,11
30,14,21,15
31,14,19,14
32,5,17,16
33,8,18,16
34,14,19,10
35,11,19,14
36,10,17,10
37,6,17,15
38,16,16,11
39,12,21,16
41,15,21,13
42,12,18,11
43,21,21,15
44,9,17,16
45,13,17,11
46,11,17,11
47,10,13,7
48,12,17,12
49,6,20,17
50,15,20,17
51,16,18,15
21,13,21,13
40,2,10,8
