seed_id,number_unique_template_bootstrap,taboo_pattern,taboo_pattern-novel
1,6,10,5
2,4,4,1
3,7,8,4
4,8,7,2
5,8,11,7
6,10,12,6
7,10,13,6
8,14,12,5
9,20,17,15
10,11,11,5
11,12,14,7
12,3,6,3
13,4,6,4
14,4,3,1
15,16,12,3
16,11,10,5
17,13,11,6
18,12,8,3
19,9,10,3
20,14,17,10
22,16,15,7
23,6,10,5
24,12,12,6
25,10,13,9
26,11,9,2
27,7,14,9
28,7,10,9
29,10,12,5
30,14,22,19
31,14,12,6
32,5,6,4
33,8,10,4
34,14,13,5
35,11,11,5
36,10,13,7
37,6,6,3
38,16,16,8
39,12,15,6
41,15,14,5
42,12,13,7
43,21,18,11
44,9,15,12
45,13,12,6
46,11,12,7
47,10,12,4
48,12,15,12
49,6,6,1
50,15,14,9
51,16,11,8
21,13,12,5
40,2,5,4
